page,iso,country,region,role,name,meta,ean,code,tags,seller,note,links,product_v23,brand_v23,pack_v23,ean_v23,v23_rows
16,CL,Chile,Americas,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 173, ""23_TARA_75"": 33}"
17,CN,China,Asia–Pacific,MILK,Oldenburger UHT Full Cream Milk 3.5% fat — Chinese label SKU 14642,Oldenburger · 1 L carton; sold on JD as 12 x 1 L · 3.5% fat,4036300069450,,,,,https://www.jd.com/hprm/1320012e02e891835fb6.html https://item.jd.com/100051221729.html,Oldenburger UHT Full Cream Milk 3.5% fat — Chinese label SKU 14642,Oldenburger,1 L carton; sold on JD as 12 x 1 L,4036300069450,"{""04_POKRYCIE_PR"": 174, ""11_MLEKO_75"": 34}"
17,CN,China,Asia–Pacific,CREAM,Oldenburger Whipping Cream 30% fat UHT,Oldenburger · 200 g · 30% fat,4036300066749,,,,,https://online.sialchina.cn/en/productlist/18665 https://oldenburger-dairy.com/oldenburger-whipping-cream-30-fat-uht-200g/22762,Oldenburger Whipping Cream 30% fat UHT,Oldenburger,200 g,4036300066749,"{""04_POKRYCIE_PR"": 175, ""14_SMIETANKA_75"": 34}"
17,CN,China,Asia–Pacific,SMP,Devondale Instant Skim Milk Powder (德运脱脂奶粉),Devondale · 1 kg · 0.9% fat,9300639999005,,,,,https://zt.52pht.com/wap/item-detail.html?item_id=37450 https://www.devondale.com.au/en/products/milk/skim-milk-powder,Devondale Instant Skim Milk Powder (德运脱脂奶粉),Devondale,1 kg,9300639999005,"{""04_POKRYCIE_PR"": 176, ""17_PROSZEK_75"": 34}"
17,CN,China,Asia–Pacific,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 177}"
17,CN,China,Asia–Pacific,DEXTROSE,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com · 1 kg (2.2 lb) · monohydrate,,DEX1KG,From abroad,,,https://www.bulksupplements.com/products/dextrose-powder,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com,1 kg (2.2 lb) — label 005,,"{""04_POKRYCIE_PR"": 178, ""20_DEKSTROZA_75"": 34}"
17,CN,China,Asia–Pacific,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by BakingWarehouse, Hong Kong",Mix with the dry ingredients and heat the base to 75–80 °C.,https://bakingwarehouse.com/products/tara-gum-50gr-saporepuro https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 179, ""23_TARA_75"": 34}"
18,CO,Colombia,Americas,MILK,"Alquería Súper Cremosa Leche Entera 3,5% 1100 ml",Alquería · 1100 ml bag · 3.5% fat,7702177022726,,,,,https://www.alqueria.com.co/productos/leche-entera/super-cremosa https://www.exito.com/leche-entera-super-cremosa-unidad-alqueria-1100-ml-3121825/p,"Alquería Súper Cremosa Leche Entera 3,5% 1100 ml",Alquería,1100 ml worek,7702177022726,"{""04_POKRYCIE_PR"": 276, ""11_MLEKO_75"": 51}"
18,CO,Colombia,Americas,CREAM,Alquería Crema de Leche Original (fórmula PEC) 400 g,Alquería · 400 g pouch with cap (27 × 15 g servings) · 31% fat,7702177022344,,,,,https://www.alqueria.com.co/productos/cremas/crema-de-leche https://www.megatiendas.co/crema-de-leche-alqueria-semientera-x-400-g-7702177022344/p,Alquería Crema de Leche Original (fórmula PEC) 400 g,Alquería,"400 g, saszetka z zakrętką, 27 porcji po 15 g",7702177022344,"{""04_POKRYCIE_PR"": 277, ""14_SMIETANKA_75"": 51}"
18,CO,Colombia,Americas,SMP,Leche en Polvo Descremada Colanta Slight,Colanta · 380 g bag · 0% fat,7702129004572,,,,,https://vaquitaexpress.com.co/leche-en-polvo-colanta-slight-descremada-x-380gr.html https://colanta.com/productos/leche-en-polvo-descremada-slight/,Leche en Polvo Descremada Colanta Slight,Colanta,torebka 380 g,7702129004572,"{""04_POKRYCIE_PR"": 278, ""17_PROSZEK_75"": 51}"
18,CO,Colombia,Americas,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 279}"
18,CO,Colombia,Americas,DEXTROSE,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com · 1 kg (2.2 lb) · monohydrate,,DEX1KG,From abroad,,,https://www.bulksupplements.com/products/dextrose-powder,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com,1 kg (2.2 lb) — label 005,,"{""04_POKRYCIE_PR"": 280, ""20_DEKSTROZA_75"": 51}"
18,CO,Colombia,Americas,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 281, ""23_TARA_75"": 51}"
19,CR,Costa Rica,Americas,MILK,"Dos Pinos Leche Entera UAT 3,5% 1 L",Dos Pinos · 1 L · 3.5% fat,7441001601071,,,,,https://www.masxmenos.cr/leche-dos-pinos-entera-uht-3-grasa-1000ml-4/p https://www.superarias.com/leche-entera-3-5-grasa-dos-pinos-1l-tb/,"Dos Pinos Leche Entera UAT 3,5% 1 L",Dos Pinos,1 L,7441001601071,"{""04_POKRYCIE_PR"": 288, ""11_MLEKO_75"": 53}"
19,CR,Costa Rica,Americas,CREAM,Dos Pinos Crema Dulce para Batir 35%,Dos Pinos · 250 ml UHT carton · 34.7% fat,7441001604508,,,,,https://www.masxmenos.cr/crema-leche-dos-pinos-para-batir-250ml-4/p https://abastecidos.dospinos.com/Abastecidos/category/dips-y-culinarios/crema-dulce/0ZGR70000004V4TOAU,Dos Pinos Crema Dulce para Batir 35%,Dos Pinos,"250 ml, karton UHT",7441001604508,"{""04_POKRYCIE_PR"": 289, ""14_SMIETANKA_75"": 53}"
19,CR,Costa Rica,Americas,SMP,NOW Foods Real Food Organic Non-Fat Dry Milk Powder,NOW Foods / iHerb Costa Rica · 340 g · 0% fat,733739058324,,,,,https://www.nowfoods.com/products/natural-foods/non-fat-dry-milk-powder-organic https://cr.iherb.com/pr/now-foods-real-food-organic-non-fat-dry-milk-powder-12-oz-340-g/21134,NOW Foods Real Food Organic Non-Fat Dry Milk Powder,NOW Foods / iHerb Costa Rica,340 g,733739058324,"{""04_POKRYCIE_PR"": 290, ""17_PROSZEK_75"": 53}"
19,CR,Costa Rica,Americas,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 291}"
19,CR,Costa Rica,Americas,DEXTROSE,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com · 1 kg (2.2 lb) · monohydrate,,DEX1KG,From abroad,,,https://www.bulksupplements.com/products/dextrose-powder,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com,1 kg (2.2 lb) — label 005,,"{""04_POKRYCIE_PR"": 292, ""20_DEKSTROZA_75"": 53}"
19,CR,Costa Rica,Americas,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 293, ""23_TARA_75"": 53}"
20,HR,Croatia,Europe,MILK,"Alpsko trajno mlijeko 3,5% m.m. 1 l",Alpsko / Ljubljanske mlekarne · 1 L UHT carton · 3.5% fat,3838800040578,,,,,https://www.konzum.hr/web/products/alpsko-trajno-mlijeko-3-5-m-m-1-l https://razvoj.dukatshop.hr/mlijeko/72-alpsko-mleko-trajno-mlijeko-35-mm-1-l-3838800040578.html,"Alpsko trajno mlijeko 3,5% m.m. 1 l",Alpsko / Ljubljanske mlekarne,1 l karton UHT,3838800040578,"{""04_POKRYCIE_PR"": 180, ""11_MLEKO_75"": 35}"
20,HR,Croatia,Europe,CREAM,Dukat Brzo & Fino Vrhnje za šlag 33%,Brzo & Fino · 500 g carton · 33% fat,3850354001348,,,,,https://www.konzum.hr/web/products/brzo-fino-vrhnje-za-slag-500-g https://razvoj.dukatshop.hr/vrhnje/188-brzo-fino-vrhnje-za-slag-500-g-3850354001348.html,Dukat Brzo & Fino Vrhnje za šlag 33%,Brzo & Fino,500 g carton,3850354001348,"{""04_POKRYCIE_PR"": 181, ""14_SMIETANKA_75"": 35}"
20,HR,Croatia,Europe,SMP,Obrano mlijeko u prahu 1% m.m.,Dukat · 1 kg · 1.5% fat,3850355001132,,,,,https://razvoj.dukatshop.hr/mlijeko-u-prahu/830-dukat-obrano-mlijeko-u-prahu-1-mm-1-kg-3850355001132.html https://www.cijene.hr/mlijeko/dukat-obrano-mlijeko-u-prahu-1-mm-1-kg-cijena-749180081,Obrano mlijeko u prahu 1% m.m.,Dukat,1 kg,3850355001132,"{""04_POKRYCIE_PR"": 182, ""17_PROSZEK_75"": 35}"
20,HR,Croatia,Europe,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 183}"
20,HR,Croatia,Europe,DEXTROSE,"Dekstroza - GymBeam, bez dodatków smakowych",GymBeam · 1000 g · monohydrate,8588006139983,,,,,https://gymbeam.hr/dekstroza-gymbeam.html,"Dekstroza - GymBeam, bez dodatków smakowych",GymBeam,1000 g,8588006139983,"{""04_POKRYCIE_PR"": 184, ""20_DEKSTROZA_75"": 35}"
20,HR,Croatia,Europe,TARA,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1 https://gourmetshop.hr/hrana/teksture/gelifikatori/tara-gumi-sosa,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 185, ""23_TARA_75"": 35}"
21,CY,Cyprus,Europe,MILK,"MEGGLE UHT Whole Milk 3,5% 1 L",MEGGLE · 1 L · 3.5% fat,8585002504432,,,,,https://wolt.com/en/cyp/ammochostos/venue/sklavenitis-paralimni/meggle-uht-whole-milk-3-5-fat-1lt-8585002504432-713974-itemid-2a4ee6410142efb41258dd27,"MEGGLE UHT Whole Milk 3,5% 1 L",MEGGLE,1 L,8585002504432,"{""04_POKRYCIE_PR"": 186, ""11_MLEKO_75"": 36}"
21,CY,Cyprus,Europe,CREAM,Charalambides Christis Dairy Whipping Cream 35% 500 ml,Charalambides Christis · 500 ml · 35.1% fat,5290036002436,,,,,https://en.charalambideschristis.com.cy/products/manufactured/cream-en/whipping-cream-en/dairy-cream-en https://www.supermarketcy.com.cy/en/charalambides-christis-whipping-cream-500ml,Charalambides Christis Dairy Whipping Cream 35% 500 ml,Charalambides Christis,500 ml,5290036002436,"{""04_POKRYCIE_PR"": 187, ""14_SMIETANKA_75"": 36}"
21,CY,Cyprus,Europe,SMP,Instant Skimmed Milk Powder With 0% Fat,Régilait · 300 g tin · 0.8% fat,3043939531112,,,,,https://www.alphamega.com.cy/en/groceries/food-cupboard/coffee-tea-cocoa/coffee/instant-coffee/regilait-instant-skimmed-milk-powder-with-0-fat-300-g https://www.supermarketcy.com.cy/en/regilait-300g,Instant Skimmed Milk Powder With 0% Fat,Régilait,puszka 300 g,3043939531112,"{""04_POKRYCIE_PR"": 188, ""17_PROSZEK_75"": 36}"
21,CY,Cyprus,Europe,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 189}"
21,CY,Cyprus,Europe,DEXTROSE,buXtrade Dextrose (Traubenzucker) 25 kg,buXtrade · 25 kg · monohydrate,4260486775762,,From abroad,,,https://buxtrade.de/products/dextrose-traubenzucker https://www.shop-apotheke.com/ernaehrung/upm47YLPU/buxtrade-dextrose-pulver.htm,buXtrade Dextrose (Traubenzucker) 25 kg,buXtrade,25 kg,4260486775762,"{""04_POKRYCIE_PR"": 190, ""20_DEKSTROZA_75"": 36}"
21,CY,Cyprus,Europe,TARA,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 191, ""23_TARA_75"": 36}"
22,CZ,Czechia,Europe,MILK,Madeta Jihočeské mléko trvanlivé plnotučné 3.5% 1L,Madeta · 1 L UHT carton · 3.5% fat,8593803224015,,,,,https://eshop.agrola.cz/trvanlive/800-mleko-trvanlive-plnot35-8593803224015.html https://www.madeta.cz/en/produkty/milk-uht-3-5-1l,Madeta Jihočeské mléko trvanlivé plnotučné 3.5% 1L,Madeta,1 L karton UHT,8593803224015,"{""04_POKRYCIE_PR"": 192, ""11_MLEKO_75"": 37}"
22,CZ,Czechia,Europe,CREAM,Meggle Smetana ke šlehání 30%,MEGGLE Slovakia · 250 ml carton · 30% fat,8585002520043,,,,,https://meggle.cz/smetany/smetany-ke-slehani/smetana-ke-slehani-30-250-ml/ https://globusonline.cz/p/meggle-smetana-ke-slehani-30-tuku-250-ml,Meggle Smetana ke šlehání 30%,MEGGLE Slovakia,250 ml carton,8585002520043,"{""04_POKRYCIE_PR"": 193, ""14_SMIETANKA_75"": 37}"
22,CZ,Czechia,Europe,SMP,Sušené odtučněné mléko ALMECO,ALMECO · 150 g · 1.3% fat,8369921447533,,,,,https://www.cukrar-shop.cz/Susene-mleko-plnotucne-400g-d2388.htm https://www.pastry.cz/susene-mleko-odtucnene-2kg/,Sušené odtučněné mléko ALMECO,ALMECO,150 g,8369921447533,"{""04_POKRYCIE_PR"": 194, ""17_PROSZEK_75"": 37}"
22,CZ,Czechia,Europe,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 195}"
22,CZ,Czechia,Europe,DEXTROSE,"Dextróza - GymBeam, bez dodatków smakowych",GymBeam · 1000 g · monohydrate,8588006139983,,,,,https://gymbeam.cz/dextroza-1000-g-gym-beam.html,"Dextróza - GymBeam, bez dodatków smakowych",GymBeam,1000 g,8588006139983,"{""04_POKRYCIE_PR"": 196, ""20_DEKSTROZA_75"": 37}"
22,CZ,Czechia,Europe,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 197, ""23_TARA_75"": 37}"
23,DK,Denmark,Europe,MILK,"Arla Sødmælk 3,5% UHT 1 L",Arla · 1 L carton with screw cap · 3.5% fat,5709310050303,,,,,https://ebberup.spar.dk/produkter/arla-s%C3%B8dm%C3%A6lk-3%2C5%25-uht-5709310050303 https://www.sartorvet.com/sodmaelk-uht1-10-x-lt.html,"Arla Sødmælk 3,5% UHT 1 L",Arla,1 L carton with screw cap,5709310050303,"{""04_POKRYCIE_PR"": 24, ""11_MLEKO_75"": 9}"
23,DK,Denmark,Europe,CREAM,Arla Piskefløde 35% UHT 200 ml,Arla · 200 ml · 35% fat,5711953069291,,,,,https://www.arla.dk/produkter/arla/piskeflode-64625/ https://naestved.meny.dk/produkter/arla-piskefl%C3%B8de-36%25-uht-5711953069291,Arla Piskefløde 35% UHT 200 ml,Arla,200 ml,5711953069291,"{""04_POKRYCIE_PR"": 25, ""14_SMIETANKA_75"": 9}"
23,DK,Denmark,Europe,SMP,EASIS Skummetmælkspulver 200 g,EASIS · 200 g · 0.6% fat,5703161691012,,,,,https://easis.dk/products/easis-skummetmaelkspulver https://www.bilkatogo.dk/produkt/easis-skummetmaelkspulver/16936/,EASIS Skummetmælkspulver 200 g,EASIS,200 g,5703161691012,"{""04_POKRYCIE_PR"": 26, ""17_PROSZEK_75"": 9}"
23,DK,Denmark,Europe,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 27}"
23,DK,Denmark,Europe,DEXTROSE,buXtrade Dextrose (Traubenzucker) 25 kg,buXtrade · 25 kg · monohydrate,4260486775762,,From abroad,,,https://buxtrade.de/products/dextrose-traubenzucker https://www.shop-apotheke.com/ernaehrung/upm47YLPU/buxtrade-dextrose-pulver.htm,buXtrade Dextrose (Traubenzucker) 25 kg,buXtrade,25 kg,4260486775762,"{""04_POKRYCIE_PR"": 28, ""20_DEKSTROZA_75"": 9}"
23,DK,Denmark,Europe,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 29, ""23_TARA_75"": 9}"
24,DO,Dominican Republic,Americas,MILK,Milex Leche UHT Entera 1 L,Milex · 1 L · 3.6% fat,4100290023195,,,,,https://mercasid.com.do/productos/milex-leche-entera-1l-2/ https://www.arla.com/es-do/productos/milex-leche-entera-1l-194976/,Milex Leche UHT Entera 1 L,Milex,1 L,4100290023195,"{""04_POKRYCIE_PR"": 198, ""11_MLEKO_75"": 38}"
24,DO,Dominican Republic,Americas,CREAM,Elle & Vire Crème Liquide Whipping Cream UHT 35% 200 ml,Elle & Vire · 200 ml carton · 35% fat,30028777,,,,,https://supermercadosnacional.com/crema-de-leche-35-grasa-elle-vire-20-cl-2066082,Elle & Vire Crème Liquide Whipping Cream UHT 35% 200 ml,Elle & Vire,200 ml carton,30028777,"{""04_POKRYCIE_PR"": 199, ""14_SMIETANKA_75"": 38}"
24,DO,Dominican Republic,Americas,SMP,NESCAFÉ Leche Descremada en Polvo,Nestlé Professional / dystrybucja Dominikana · 500 g · 0.8% fat,7613034074218,,,,,https://www.nestleprofessional-latam.com/do/nescafe/leche-descremada-polvo-500g https://www.nestleprofessional.co.uk/coffee/other-beverages/nestle-skimmed-milk-powder-500g-bag,NESCAFÉ Leche Descremada en Polvo,Nestlé Professional / dystrybucja Dominikana,500 g,7613034074218,"{""04_POKRYCIE_PR"": 200, ""17_PROSZEK_75"": 38}"
24,DO,Dominican Republic,Americas,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 201}"
24,DO,Dominican Republic,Americas,DEXTROSE,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com · 1 kg (2.2 lb) · monohydrate,,DEX1KG,From abroad,,,https://www.bulksupplements.com/products/dextrose-powder,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com,1 kg (2.2 lb) — label 005,,"{""04_POKRYCIE_PR"": 202, ""20_DEKSTROZA_75"": 38}"
24,DO,Dominican Republic,Americas,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 203, ""23_TARA_75"": 38}"
25,EG,Egypt,Middle East & North Africa,MILK,"Juhayna Full Cream Milk UHT 3,0% 1 L",Juhayna · 1 L · 3% fat,6223000350065,,,,,https://www.juhayna.com/brands-category/juhayna-dairy/ https://spinneys-egypt.com/en/juhayna-milk-full-cream-1-l,"Juhayna Full Cream Milk UHT 3,0% 1 L",Juhayna,1 L,6223000350065,"{""04_POKRYCIE_PR"": 204, ""11_MLEKO_75"": 39}"
25,EG,Egypt,Middle East & North Africa,CREAM,Elle & Vire Professionnel Excellence Whipping Cream UHT 35%,Elle & Vire · 1 L brik (989 g net per official technical sheet) · 35% fat,3161911703385,,,,,https://www.amazon.eg/-/en/Elle-Vire-Excellence-Whipping-Cream/dp/B087KF9CTW https://www.elle-et-vire.com/int/en/pro/creams/products/excellence-whipping-cream-35fat/,Elle & Vire Professionnel Excellence Whipping Cream UHT 35%,Elle & Vire,1 L brik (989 g net per official technical sheet),3161911703385,"{""04_POKRYCIE_PR"": 205, ""14_SMIETANKA_75"": 39}"
25,EG,Egypt,Middle East & North Africa,SMP,NOW Real Food Organic Non-Fat Dry Milk Powder,NOW Foods Real Food · 12 oz (340 g) bag · 0% fat,733739058324,,From abroad,,,https://eg.iherb.com/pr/now-foods-real-food-organic-non-fat-dry-milk-powder-12-oz-340-g/21134 https://www.nowfoods.com/products/natural-foods/non-fat-dry-milk-powder-organic,NOW Real Food Organic Non-Fat Dry Milk Powder,NOW Foods Real Food,torebka 12 oz (340 g),733739058324,"{""04_POKRYCIE_PR"": 206, ""17_PROSZEK_75"": 39}"
25,EG,Egypt,Middle East & North Africa,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 207}"
25,EG,Egypt,Middle East & North Africa,DEXTROSE,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com · 1 kg (2.2 lb) · monohydrate,,DEX1KG,From abroad,,,https://www.bulksupplements.com/products/dextrose-powder,BulkSupplements.com Dextrose Crystallized Powder,BulkSupplements.com,1 kg (2.2 lb) — label 005,,"{""04_POKRYCIE_PR"": 208, ""20_DEKSTROZA_75"": 39}"
25,EG,Egypt,Middle East & North Africa,TARA,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1 https://bakingwarehouse.com/products/tara-gum-50gr-saporepuro,SaporePuro Farina di semi di tara (E417) 50 g,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 209, ""23_TARA_75"": 39}"
26,EE,Estonia,Europe,MILK,"Tere Cappuccino UHT Milk 3,5% 1 L",Tere · 1 L · 3.5% fat,4740036009085,,,,,https://www.rimi.ee/epood/en/products/dairy-products-eggs-cheese/milk/high-pasteurized-milk/piim-cappuccino-tere-3-5-1l/p/286625 https://www.tere.eu/products/uht/tere-korgkuumutatud-cappuccino-piim,"Tere Cappuccino UHT Milk 3,5% 1 L",Tere,1 L,4740036009085,"{""04_POKRYCIE_PR"": 210, ""11_MLEKO_75"": 40}"
26,EE,Estonia,Europe,CREAM,Alma vahukoor 35%,Valio Eesti AS / Alma · 400 ml carton · 35% fat,4740125220049,,,,,https://www.valio.ee/tooted/alma-vahukoor-35-400ml/ https://coophaapsalu.ee/toode/vahukoor-35-alma-400ml/,Alma vahukoor 35%,Valio Eesti AS / Alma,400 ml carton,4740125220049,"{""04_POKRYCIE_PR"": 211, ""14_SMIETANKA_75"": 40}"
26,EE,Estonia,Europe,SMP,Piimapulber rasvavaba / rasvaton maitojauhe instant,Valio · 400 g · 0.6% fat,6408430840625,,,,,https://www.kaupmees.ee/products/?query=6408430840625 https://www.valio.fi/tuotteet/valio-rasvaton-maitojauhe-instant/,Piimapulber rasvavaba / rasvaton maitojauhe instant,Valio,400 g,6408430840625,"{""04_POKRYCIE_PR"": 212, ""17_PROSZEK_75"": 40}"
26,EE,Estonia,Europe,SUCROSE,White granulated sugar — 100% sugar,Any brand · any pack,,,,,The ingredients should list only sugar (sucrose).,,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,"{""04_POKRYCIE_PR"": 213}"
26,EE,Estonia,Europe,DEXTROSE,buXtrade Dextrose (Traubenzucker) 25 kg,buXtrade · 25 kg · monohydrate,4260486775762,,From abroad,,,https://buxtrade.de/products/dextrose-traubenzucker https://www.shop-apotheke.com/ernaehrung/upm47YLPU/buxtrade-dextrose-pulver.htm,buXtrade Dextrose (Traubenzucker) 25 kg,buXtrade,25 kg,4260486775762,"{""04_POKRYCIE_PR"": 214, ""20_DEKSTROZA_75"": 40}"
26,EE,Estonia,Europe,TARA,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro · 50 g,8055728540170,,From abroad,"Sold by SaporePuro, Italy",Mix with the dry ingredients and heat the base to 75–80 °C.,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,"{""04_POKRYCIE_PR"": 215, ""23_TARA_75"": 40}"
27,FI,Finland,Europe,MILK,Valio täysmaito suomalaisilta maitotiloilta 1 L,Valio · 1 L carton · 3.5% fat,6408430000135,,,,,https://www.valio.fi/tuotteet/valio-taysmaito-suomalaisilta-maitotiloilta/ https://www.k-ruoka.fi/kauppa/tuote/valio-taysmaito-suomal-maitotil-1l-6408430000135,Valio täysmaito suomalaisilta maitotiloilta 1 L,Valio,1 L carton,6408430000135,"{""04_POKRYCIE_PR"": 30, ""11_MLEKO_75"": 10}"
27,FI,Finland,Europe,CREAM,Arla Lempi Kuohukerma luomu 35% 2 dl,Arla Lempi · 200 ml · 35% fat,6413300015225,,,,,https://www.s-kaupat.fi/tuote/arla-lempi-kuohukerma-luomu-2-dl/6413300015225 https://www.arla.fi/tuotteet/arla-lempi/kuohukerma-luomu-2dl-652156/,Arla Lempi Kuohukerma luomu 35% 2 dl,Arla Lempi,200 ml,6413300015225,"{""04_POKRYCIE_PR"": 31, ""14_SMIETANKA_75"": 10}"
