iso2,priority,region,role,grams,pi_ing,pi_in_2541,proposal_key,product,brand,pack,ean,ean_cell,gtin_checksum,rcn_range,gs1_prefix_registry,v7_status,source_domain,source_class_heuristic,source_url
IT,★★★★★,EU27,MILK,672,PI-ING-000236,YES,MILK-IT-GRANAROLO,Granarolo Latte Intero UHT,Granarolo,1 l,8002670169607,TEXT,OK,NO,IT,KANDYDAT_PR,granarolo.it,DIRECT_SITE_UNCLASSIFIED,https://www.granarolo.it/marchi/linea-granarolo/latte/latte-intero-da-latte-alta-qualita-granarolo-uht | https://www.carrefour.it/p/granarolo-latte-intero-uht-a-lunga-conservazione-1-l/8002670169607.html
IT,★★★★★,EU27,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-4034900027405,Meggle Panna non zuccherata da montare e per cucinare UHT 30% 200 ml,Meggle,200 ml,4034900027405,TEXT,OK,NO,DE,KANDYDAT_PR,meggle.it,DIRECT_SITE_UNCLASSIFIED,"https://www.meggle.it/i-prodotti/panna/panna-da-montare
https://www.cosicomodo.it/italmark/flero/Panna-e-besciamella/Meggle-Panna-Non-Zuccherata%2A-200-ml/p/4034900027405"
IT,★★★★★,EU27,SMP,35,PI-ING-000270,YES,SMP-GTIN-08004990133030,Latte scremato in polvere istantaneo,Ristora,puszka 300 g,8004990133030,TEXT,OK,NO,IT,KANDYDAT_PR,bevandeistantanee.it,DIRECT_SITE_UNCLASSIFIED,"https://www.bevandeistantanee.it/products/latte-scremato-in-polvere-ristora
https://www.spesasicura.com/product/ristora-latte-scrempolvere-lattgr300-id-23533
https://sugros.com/prodotto/ristora-latte-in-polvere-300-gr"
IT,★★★★★,EU27,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
IT,★★★★★,EU27,DEXTROSE,30,PI-ING-000494,YES,DEX-GTIN-08050246530061,Destrosio Monoidrato 1kg,Artegustando,1 kg,8050246530061,TEXT,OK,NO,IT,KANDYDAT_PR,artegustando.com,DIRECT_SITE_UNCLASSIFIED,https://artegustando.com/products/destrosio-monoidrato
IT,★★★★★,EU27,TARA,3,PI-ING-000492,YES,TARA-GTIN-08055728540170,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,TEXT,OK,NO,IT,KANDYDAT_PR,saporepuro.com,DIRECT_SITE_UNCLASSIFIED,"https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
https://saporepuro.com/cdn/shop/files/TDS_GOMMA_DI_TARA_SAPOREPURO_7ba2d8ce-553c-4b18-8d0a-b511a78af3f0.pdf?v=6266750854494086058
https://saporepuro.com/policies/shipping-policy
https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json"
DZ,★★★★,MAGHREB,MILK,672,PI-ING-000236,YES,MILK-GTIN-6130760003592,Lait Entier Stérilisé UHT 1L,Soummam,1 L,6130760003592,TEXT,OK,NO,DZ,KANDYDAT_PR,soummam-dz.com,DIRECT_SITE_UNCLASSIFIED,"https://www.soummam-dz.com/produit.html?f=3&sf=2
https://mantooj.net/index.php?controller=product&id=13821&lang=ar&layout=detail&option=com_gs1
https://www.taibaoline.com/product/soummam-lait-entier-1-litre/"
DZ,★★★★,MAGHREB,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-3412290032215,Paysan Breton La Crème Pâtisserie & Cuisine UHT 30%,Paysan Breton,20 cl,3412290032215,TEXT,OK,NO,FR,KANDYDAT_WARUNKOWY,casinetto.com,DIRECT_SITE_UNCLASSIFIED,"https://casinetto.com/products/cooking-and-whipping-cream-30/
https://bf1af2.akinoncloudcdn.com/products/2025/03/28/87485/697134c3-73cd-408b-8a68-2100017edff8_size1920_cropCenter.jpg
https://bf1af2.akinoncloudcdn.com/products/2025/03/28/87485/4dd8e776-62e5-4b64-8b34-30e98d6b5a69_size1920_cropCenter.jpg"
DZ,★★★★,MAGHREB,SMP,35,PI-ING-000270,YES,SMP-GTIN-00733739058324,NOW Real Food Organic Non-Fat Dry Milk Powder,NOW Foods Real Food,torebka 12 oz (340 g),733739058324,TEXT,OK,NO,US/CA (UPC-A),KANDYDAT_PR,dz.iherb.com,DIRECT_SITE_UNCLASSIFIED,"https://dz.iherb.com/pr/now-foods-real-food-organic-non-fat-dry-milk-powder-12-oz-340-g/21134
https://www.nowfoods.com/products/natural-foods/non-fat-dry-milk-powder-organic
https://www.iherb.com/shipping/dz"
DZ,★★★★,MAGHREB,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
DZ,★★★★,MAGHREB,DEXTROSE,30,PI-ING-000494,YES,DEX-DZ-PRODUCT,Dextrose Monohydrate — food grade,Chemstock,B2B — opakowanie niepubliczne,,,,,,WYMAGA_ETYKIETY,chemstock.ae,DIRECT_SITE_UNCLASSIFIED,https://chemstock.ae/industrial-chemicals/food-chemicals/dextrose-monohydrate-supplier-uae/
DZ,★★★★,MAGHREB,TARA,3,PI-ING-000492,YES,TARA-GTIN-00711221973065,Cape Crystal Brands Tara Gum Powder,Cape Crystal Brands,8 oz (226.8 g),711221973065,TEXT,OK,NO,US/CA (UPC-A),WYMAGA_DOSTAWY,ubuy.dz,DIRECT_SITE_UNCLASSIFIED,"https://www.ubuy.dz/en/product/4D8YY3QCG-tara-gum-powder-8-oz-from-the-amazon-pantry-imparts-a-creamy-mouthfeel-to-dairy-products-soups-and-sauces-kosher-vegan-nongmo-highest-purity
https://www.capecrystalbrands.com/products/tara-gum"
SA,★★★★,GCC,MILK,672,PI-ING-000236,YES,MILK-GTIN-6281007040235,Almarai Fresh Milk Full Fat 1 L,Almarai,1 L,6281007040235,TEXT,OK,NO,SA,KANDYDAT_PR,almarai.com,DIRECT_SITE_UNCLASSIFIED,"https://www.almarai.com/en/brands/almarai/liquid-dairy/fresh-milk/fresh-milk-full-fat
https://mohideensupermarket.com/product/almarai-milk-full-fat-3-1-ltr/
https://furdtk.com/en/shop/category/dairy-eggs-fresh-milk-3288
https://barcode-list.com/barcode/EN/barcode-6281007040235/Search.htm"
SA,★★★★,GCC,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-3412290032215,Paysan Breton La Crème Pâtisserie & Cuisine UHT 30%,Paysan Breton,20 cl,3412290032215,TEXT,OK,NO,FR,KANDYDAT_PR,casinetto.com,DIRECT_SITE_UNCLASSIFIED,"https://casinetto.com/products/cooking-and-whipping-cream-30/
https://bf1af2.akinoncloudcdn.com/products/2025/03/28/87485/697134c3-73cd-408b-8a68-2100017edff8_size1920_cropCenter.jpg
https://bf1af2.akinoncloudcdn.com/products/2025/03/28/87485/4dd8e776-62e5-4b64-8b34-30e98d6b5a69_size1920_cropCenter.jpg
https://casinetto.com/products/cooking-and-whipping-cream-30/
https://www.carrefourksa.com/mafsau/en/fresh-cream/pb-cooking-cream-uht-20cl/p/595748"
SA,★★★★,GCC,SMP,35,PI-ING-000270,YES,SMP-GTIN-03043931692415,Régilait Instant Skimmed Milk Powder 0% Fat,Régilait,puszka 700 g,3043931692415,TEXT,OK,NO,FR,KANDYDAT_PR,gcc.luluhypermarket.com,DIRECT_SITE_UNCLASSIFIED,"https://gcc.luluhypermarket.com/en-sa/regilait-0-fat-instant-skimmed-milk-powder-700-g/p/3706
https://regilait.com/en/products/powdered-milks/instant-skimmed-milk-powder-0-fat
https://www.amazon.ae/REGILAIT-NON-SKIMD-MILK-700G/dp/B07NF7B1H6"
SA,★★★★,GCC,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
SA,★★★★,GCC,DEXTROSE,30,PI-ING-000494,YES,DEX-SA-PRODUCT,DEXTROSE MONOHYDRATE 25kg,Unspecified manufacturer,25 kg,,,,,,WYMAGA_ETYKIETY,bsaten-althuaq.com,DIRECT_SITE_UNCLASSIFIED,https://bsaten-althuaq.com/en/products/dextrose-monohydrate-25kg-%D8%AF%D9%83%D8%B3%D8%AA%D8%B1%D9%88%D8%B2
SA,★★★★,GCC,TARA,3,PI-ING-000492,YES,TARA-GTIN-00711221973058,Cape Crystal Brands Tara Gum Powder,Cape Crystal Brands,2 oz (56.7 g),711221973058,TEXT,OK,NO,US/CA (UPC-A),WYMAGA_DOSTAWY,ubuy.com.sa,DIRECT_SITE_UNCLASSIFIED,"https://www.ubuy.com.sa/en/product/4LRAT8WUW-tara-gum-powder-2-oz-from-the-amazon-pantry-imparts-a-creamy-mouthfeel-to-dairy-products-soups-and-sauces-kosher-vegan-nongmo-highest-purity
https://www.capecrystalbrands.com/products/tara-gum"
AR,★★★★,LATAM_SOUTH_CONE,MILK,672,PI-ING-000236,YES,MILK-AR-LASERENISIMA-30-1L,La Serenísima Leche Larga Vida Clásica 3% 1 L,La Serenísima,1 L,7790742308801,TEXT,OK,NO,AR,KANDYDAT_PR,carrefour.com.ar,DIRECT_SITE_UNCLASSIFIED,https://www.carrefour.com.ar/leche-entera-larga-vida-la-serenisima-3-1-l/p; https://www.coto.com.ar/productos/_/A-00253482-00253482-200/; https://www.laserenisima.com.ar/leches3210/
AR,★★★★,LATAM_SOUTH_CONE,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-7794820901670,Milkaut Profesional Crema de Leche 39%,Milkaut,"5 l, sachet",7794820901670,TEXT,OK,NO,AR,KANDYDAT_PR,milkautprofesional.com.ar,DIRECT_SITE_UNCLASSIFIED,"https://milkautprofesional.com.ar/productos/cremas/crema-39/
https://www.cocinaconvalentino.com.ar/cremas-de-leche/17213-crema-de-leche-milkaut-sachet-x-5-lts-39-7794820901670.html"
AR,★★★★,LATAM_SOUTH_CONE,SMP,35,PI-ING-000270,YES,SMP-GTIN-07790742436405,La Serenísima Leche en Polvo Liviana / Descremada Instantánea 400 g,La Serenísima,400 g,7790742436405,TEXT,OK,NO,AR,KANDYDAT_PR,jumbo.com.ar,DIRECT_SITE_UNCLASSIFIED,"https://www.jumbo.com.ar/leche-en-polvo-descremada-la-serenisima-400-gr/p
https://www.jumbo.com.ar/api/catalog_system/pub/products/search?fq=alternateIds_RefId:11240102004
https://jumboargentina.vtexassets.com/arquivos/ids/869467/Leche-En-Polvo-Descremada-La-Serenisima-400-Gr-2-861793.jpg?v=638842269705070000
https://www.supertop.com.ar/leche-la-serenisima-en-polvo-descremada-instantanea-x-400gr-7790742436405/p
https://www.laserenisima.com.ar/productos.php
https://www.laserenisima.com.ar/ajax/getinfo.php?seccion=getProductos&categoria=X&subcat=2"
AR,★★★★,LATAM_SOUTH_CONE,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
AR,★★★★,LATAM_SOUTH_CONE,DEXTROSE,30,PI-ING-000494,YES,DEX-AR-PRODUCT,Dextrosa Monohidratada x 1kg,Bioenzim,1 kg,,,,,,WYMAGA_ETYKIETY,bioenzimtienda.com,DIRECT_SITE_UNCLASSIFIED,https://bioenzimtienda.com/productos/dextrosa-monohidratada-x-1kg-1j5jc/
AR,★★★★,LATAM_SOUTH_CONE,TARA,3,PI-ING-000492,YES,TARA-AR-PRODUCT,Goma Tara Grado Alimenticio Calidad Premium,Química Palumbo,Gramatura niepubliczna,,,,,,WYMAGA_ETYKIETY,quimicapalumbo.com.ar,DIRECT_SITE_UNCLASSIFIED,https://www.quimicapalumbo.com.ar/productos/goma-tara-grado-alimenticio-calidad-premium/
BH,★★★★,GCC,MILK,672,PI-ING-000236,YES,MILK-GTIN-5711953072352,Organic Milk Full Fat 200ml,Arla,200 ml,5711953072352,TEXT,OK,NO,DK,KANDYDAT_PR,mea.arla.com,DIRECT_SITE_UNCLASSIFIED,"https://mea.arla.com/product-overview/organicmilk/full-fat-200ml-3195/
https://www.thefreshmarketdubai.com/products/arla-organic-milk-full-fat-200ml-5711953072352
https://gcc.luluhypermarket.com/en-bh/arla-organic-milk-full-fat-200-ml/p/1353021-ea"
BH,★★★★,GCC,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-5700426230177,Puck Whipping Cream UHT,Puck,200 ml,5700426230177,TEXT,OK,NO,DK,KANDYDAT_PR,puckarabia.com,DIRECT_SITE_UNCLASSIFIED,"https://www.puckarabia.com/en/products/whipping-cream/
https://www.sharjahcoop.ae/en/puck-whipping-cream-200ml/p/5700426230177
https://gcc.luluhypermarket.com/en-bh/puck-whipping-cream-200-ml/p/211342"
BH,★★★★,GCC,SMP,35,PI-ING-000270,YES,SMP-GTIN-03043931692415,Régilait Instant Skimmed Milk Powder 0% Fat,Régilait,puszka 700 g,3043931692415,TEXT,OK,NO,FR,KANDYDAT_PR,bahrain.sharafdg.com,DIRECT_SITE_UNCLASSIFIED,"https://bahrain.sharafdg.com/product/regilait-fat-free-instant-skimmed-milk-powder-700gm/
https://regilait.com/en/products/powdered-milks/instant-skimmed-milk-powder-0-fat
https://www.amazon.ae/REGILAIT-NON-SKIMD-MILK-700G/dp/B07NF7B1H6"
BH,★★★★,GCC,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
BH,★★★★,GCC,DEXTROSE,30,PI-ING-000494,YES,DEX-BH-PRODUCT,Dextrose Monohydrate – food applications,Unspecified manufacturer,B2B — opakowanie niepubliczne,,,,,,WYMAGA_ETYKIETY,chemstock.ae,DIRECT_SITE_UNCLASSIFIED,https://chemstock.ae/industrial-chemicals/food-chemicals/dextrose-monohydrate-supplier-uae/
BH,★★★★,GCC,TARA,3,PI-ING-000492,YES,TARA-MP-1508-50,Modernist Pantry Pure Tara Gum Powder,Modernist Pantry,50 g,819543011967,TEXT,OK,NO,US/CA (UPC-A),WYMAGA_DOSTAWY,ubuy.com.bh,DIRECT_SITE_UNCLASSIFIED,"https://www.ubuy.com.bh/en/product/20BCUPO-pure-tara-gum-powder-non-gmo-gluten-free-vegan-ou-kosher-certified-50g-2oz
https://modernistpantry.com/products/tara-gum.html
https://cdn11.bigcommerce.com/s-nu5wtrnr3h/images/stencil/90x90/products/507/1289/modernistpantry_taragum_50g_back__92203.1691090330.jpg?c=1"
BD,★★★★,SOUTH_ASIA,MILK,672,PI-ING-000236,YES,MILK-GTIN-9311697100173,Harvey Fresh Full Cream Longlife Milk 1L,Harvey Fresh,"1 L, karton UHT",9311697100173,TEXT,OK,NO,AU,KANDYDAT_PR,harveyfresh.com.au,DIRECT_SITE_UNCLASSIFIED,"https://www.harveyfresh.com.au/our-products/milk/long-life-milk/uht-full-cream-milk-1-litre
https://www.foodpanda.com.bd/groceries/product/FYL67N/harvey-fresh-full-cream-milk-1l
https://online-price-watch.consumer.org.hk/opw/product/P000002592
https://www.daily.com.ph/categories/p/2821-harveyfresh-full-cream-milk-1l.html"
BD,★★★★,SOUTH_ASIA,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-5701215046399,Emborg Natural Whipping Cream UHT 35.1% 1 L,Emborg,1 L,5701215046399,TEXT,OK,NO,DK,KANDYDAT_PR,emborg.com,DIRECT_SITE_UNCLASSIFIED,"https://www.emborg.com/product/whipping-cream/
https://www.shwapno.com/emborg-whipping-cream-1ltr-?lang=en
https://importshopbd.com/product/emborg-whipping-cream-1l/
https://www.dccbazar.com.bd/grocery-en/baking-needs/emborg-whipping-cream-200ml-clone/
https://www.tops.co.th/en/emborg-uht-whipping-cream-1ltr-5701215046399
https://www.meatup.shop/products/cream-whipping"
BD,★★★★,SOUTH_ASIA,SMP,35,PI-ING-000270,YES,SMP-GTIN-00733739058324,Real Food Organic Non-Fat Dry Milk Powder,NOW Foods,12 oz (340 g),733739058324,TEXT,OK,NO,US/CA (UPC-A),KANDYDAT_PR,nowfoods.com,DIRECT_SITE_UNCLASSIFIED,"https://www.nowfoods.com/products/natural-foods/non-fat-dry-milk-powder-organic
https://bd.iherb.com/pr/now-foods-real-food-organic-non-fat-dry-milk-powder-12-oz-340-g/21134
https://www.iherb.com/shipping/bd"
BD,★★★★,SOUTH_ASIA,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
BD,★★★★,SOUTH_ASIA,DEXTROSE,30,PI-ING-000494,YES,DEX-BD-PRODUCT,Unicorn Dextrose Monohydrate Food Grade,Unicorn,50 kg HDPE bag; minimum order 100 kg,,,,,,WYMAGA_ETYKIETY,echem.com.bd,DIRECT_SITE_UNCLASSIFIED,"https://echem.com.bd/item/unicorn-dextrose-monohydrate-food-grade-34g0679qp7
https://www.indianstarch.com/food-chemicals.html"
BD,★★★★,SOUTH_ASIA,TARA,3,PI-ING-000492,YES,TARA-MP-1508-50,Tara Gum — Home 50g,Modernist Pantry,50 g (manufacturer Home pack; Ubuy title also calls it 2 oz),819543011967,TEXT,OK,NO,US/CA (UPC-A),WYMAGA_DOSTAWY,modernistpantry.com,DIRECT_SITE_UNCLASSIFIED,"https://modernistpantry.com/products/tara-gum.html
https://www.ubuy.com.bd/en/product/20BCUPO-pure-tara-gum-powder-non-gmo-gluten-free-vegan-ou-kosher-certified-50g-2oz
https://modernistpantry.com/pages/international-shipping.html
https://cdn11.bigcommerce.com/s-nu5wtrnr3h/images/stencil/1280x1280/products/507/1289/modernistpantry_taragum_50g_back__92203.1691090330.jpg?c=1"
BR,★★★★,BRAZIL,MILK,672,PI-ING-000236,YES,MILK-GTIN-7898215151708,Piracanjuba Leite Integral UHT 1 L,Piracanjuba,1 L,7898215151708,TEXT,OK,NO,BR,KANDYDAT_PR,piracanjuba.com.br,DIRECT_SITE_UNCLASSIFIED,"https://www.piracanjuba.com.br/produto/leite-integral-piracanjuba-1l
https://piracanjuba-institucional-prd.s3.sa-east-1.amazonaws.com/product_nutrition/image/leite_uht_integral-113.webp
https://www.covabra.com.br/leite-piracanjuba-integral-1l/p
https://www.imigrantesbebidas.com.br/leite-integral-piracanjuba-1l"
BR,★★★★,BRAZIL,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-7898215151975,Piracanjuba Seleção Creme de Leite Gourmet 30%,Piracanjuba,"200 g, karton",7898215151975,TEXT,OK,NO,BR,KANDYDAT_PR,piracanjuba.com.br,DIRECT_SITE_UNCLASSIFIED,"https://www.piracanjuba.com.br/produto/creme-de-leite-gourmet-piracanjuba-200g
https://piracanjuba-institucional-prd.s3.sa-east-1.amazonaws.com/product_nutrition/image/cdl_200g_gourmet-189.webp
https://www.lojasantoantonio.com.br/69883-creme-de-leite-gourmet-30--gordura-200ml-piracanjuba/p
https://www.hotbel.com.br/wp-content/uploads/2020/11/PIRACANJUBA-HB-2020.pdf"
BR,★★★★,BRAZIL,SMP,35,PI-ING-000270,YES,SMP-GTIN-07891000101506,Molico Desnatado Leite em Pó,Nestlé Molico,280 g,7891000101506,TEXT,OK,NO,BR,KANDYDAT_PR,lojafamilynes.com.br,DIRECT_SITE_UNCLASSIFIED,"https://www.lojafamilynes.com.br/molico-desnatado-lata-280g
https://compre.estreladistribuicao.com.br/leite-em-po-molico-desnatado-lata-280g-122947
https://www.covabra.com.br/leite-em-po-molico-desnatado-280g/p"
BR,★★★★,BRAZIL,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
BR,★★★★,BRAZIL,DEXTROSE,30,PI-ING-000494,YES,DEX-BR-PRODUCT,Dextrose Monohidratada,Allimentari,1 kg,,,,,,WYMAGA_ETYKIETY,allimentari.com.br,DIRECT_SITE_UNCLASSIFIED,https://www.allimentari.com.br/produto/dextrose-monohidratada-1-kg.html
BR,★★★★,BRAZIL,TARA,3,PI-ING-000492,YES,TARA-BR-PRODUCT,Goma Tara INS 417 — 1 kg,Allimentari,1 kg,,,,,,WYMAGA_ETYKIETY,allimentari.com.br,DIRECT_SITE_UNCLASSIFIED,https://www.allimentari.com.br/produto/goma-tara.html
BG,★★★★,EU27,MILK,672,PI-ING-000236,YES,MILK-BG-PRESIDENT-UHT-36-1L,"Président UHT 3,5% / 3,6% 1 L",Président,1 L,3228022980095,TEXT,OK,NO,FR,KANDYDAT_PR,shop24.bg,DIRECT_SITE_UNCLASSIFIED,https://shop24.bg/pryasno-mlyako/466-pryasno-mlyako-president-35-1l-3228022980095.html
BG,★★★★,EU27,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-8593803253053,Madeta Jihočeská smetana UHT 31%,Madeta,250 ml carton,8593803253053,TEXT,OK,NO,CZ,KANDYDAT_PR,ebag.bg,DIRECT_SITE_UNCLASSIFIED,"https://www.ebag.bg/en/cream-madeta-dairy-31-uht/535345
https://www.madeta.cz/produkty/jihoceska-smetana-trvanliva-31-250_ml
https://www.madeta.cz/en/produkty/cream-uht-31-250ml"
BG,★★★★,EU27,SMP,35,PI-ING-000270,YES,SMP-GTIN-03800081460239,"Сухо обезмаслено мляко 1,5%",Bioset,50 g,3800081460239,TEXT,OK,NO,BG,KANDYDAT_PR,bulmag.org,DIRECT_SITE_UNCLASSIFIED,"https://bulmag.org/product/suho-mlyako-bioset-1-5-50-gr
https://randi.bg/suho-mliako-bioset-15-50gr
https://tmarketonline.bg/product/suho-mlyako-bioset-15-50gr"
BG,★★★★,EU27,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
BG,★★★★,EU27,DEXTROSE,30,PI-ING-000494,YES,DEX-GTIN-08588006139983,"Декстроза - GymBeam, bez dodatków smakowych",GymBeam,1000 g,8588006139983,TEXT,OK,NO,SK,KANDYDAT_PR,gymbeam.bg,DIRECT_SITE_UNCLASSIFIED,https://gymbeam.bg/dekstroza-1000-g-gymbeam.html
BG,★★★★,EU27,TARA,3,PI-ING-000492,YES,TARA-GTIN-08055728540170,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,SaporePuro,50 g,8055728540170,TEXT,OK,NO,IT,KANDYDAT_PR,saporepuro.com,DIRECT_SITE_UNCLASSIFIED,"https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1
https://saporepuro.com/cdn/shop/files/TDS_GOMMA_DI_TARA_SAPOREPURO_7ba2d8ce-553c-4b18-8d0a-b511a78af3f0.pdf?v=6266750854494086058
https://saporepuro.com/policies/shipping-policy
https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1.json"
CL,★★★★,LATAM_SOUTH_CONE,MILK,672,PI-ING-000236,YES,MILK-CL-COLUN-UHT-31-1L,"COLUN Leche Entera Natural 3,1% 1 L",COLUN,1 L,7802920777542,TEXT,OK,NO,CL,KANDYDAT_PR,colun.cl,DIRECT_SITE_UNCLASSIFIED,https://www.colun.cl/productos/categoria/detalle/leche-colun-entera-1-lt; https://cl.openfoodfacts.org/producto/7802920777542/leche-entera-colun
CL,★★★★,LATAM_SOUTH_CONE,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-7802900107017,Soprole Crema para Batir Larga Vida 35%,Soprole,"1 l, karton UHT",7802900107017,TEXT,OK,NO,CL,KANDYDAT_PR,soprole.cl,DIRECT_SITE_UNCLASSIFIED,"https://www.soprole.cl/productos/categorias/subcategorias/producto-detalle/cremas/crema-para-batir-1l
https://super.eltit.cl/products/crema-l-vida-soprole-1lt-p-batir
https://www.frozenter.cl/product/crema-de-leche-para-batir-1-lt-soprole"
CL,★★★★,LATAM_SOUTH_CONE,SMP,35,PI-ING-000270,YES,SMP-GTIN-07802920009865,Colun Leche Descremada en Polvo,COLUN,800 g,7802920009865,TEXT,OK,NO,CL,KANDYDAT_PR,colun.cl,DIRECT_SITE_UNCLASSIFIED,"https://www.colun.cl/productos/categoria/detalle/leche-colun-descremada-en-polvo-800gr
https://www.mitiendacolun.cl/lp-colun-0-800-gr-2020.html
https://www.santaisabel.cl/leche-en-polvo-descremada-800-g-1843821/p"
CL,★★★★,LATAM_SOUTH_CONE,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
CL,★★★★,LATAM_SOUTH_CONE,DEXTROSE,30,PI-ING-000494,YES,DEX-CL-PRODUCT,Dextrosa Monohidratada,SanoAlimentos,1 kg,,,,,,WYMAGA_ETYKIETY,sanoalimentos.cl,DIRECT_SITE_UNCLASSIFIED,https://www.sanoalimentos.cl/productos/dextrosa-monohidratada---1-kg
CL,★★★★,LATAM_SOUTH_CONE,TARA,3,PI-ING-000492,YES,TARA-CL-PRODUCT,Goma Tara 100 Grs,Nutrigood,100 g,,,,,,WYMAGA_ETYKIETY,nutrigood.cl,DIRECT_SITE_UNCLASSIFIED,https://www.nutrigood.cl/tara
CN,★★★★,GREATER_CHINA,MILK,672,PI-ING-000236,YES,MILK-GTIN-4036300069450,Oldenburger UHT Full Cream Milk 3.5% fat — Chinese label SKU 14642,Oldenburger,1 L carton; sold on JD as 12 x 1 L,4036300069450,TEXT,OK,NO,DE,KANDYDAT_PR,oldenburger-professional.com,DIRECT_SITE_UNCLASSIFIED,"https://www.oldenburger-professional.com/media/13/8d/af/1696234639/OLB%20Assortmentlist%202023_2024_combined.pdf
https://www.jd.com/hprm/1320012e02e891835fb6.html
https://item.jd.com/100051221729.html"
CN,★★★★,GREATER_CHINA,CREAM,130,PI-ING-000180,YES,CREAM-GTIN-4036300066749,Oldenburger Whipping Cream 30% fat UHT,Oldenburger,200 g,4036300066749,TEXT,OK,NO,DE,KANDYDAT_PR,oldenburger-dairy.com,DIRECT_SITE_UNCLASSIFIED,"https://oldenburger-dairy.com/oldenburger-whipping-cream-30-fat-uht-200g/22762
https://www.oldenburger-professional.com/media/13/8d/af/1696234639/OLB%20Assortmentlist%202023_2024_combined.pdf
https://online.sialchina.cn/en/productlist/18665
https://www.jd.com/brand/13200805b243170dfdc9.html"
CN,★★★★,GREATER_CHINA,SMP,35,PI-ING-000270,YES,SMP-GTIN-09300639999005,Devondale Instant Skim Milk Powder (德运脱脂奶粉),Devondale,1 kg,9300639999005,TEXT,OK,NO,AU,KANDYDAT_PR,zt.52pht.com,DIRECT_SITE_UNCLASSIFIED,"https://zt.52pht.com/wap/item-detail.html?item_id=37450
https://www.devondale.com.au/en/products/milk/skim-milk-powder
https://www.woolworths.com.au/shop/productdetails/750032/devondale-instant-skim-milk-powder-powder-uht
https://campbells.sorted.au/Open-Catalogue/PANTRY/LONG-LIFE-MILK/LONG-LIFE-POWDERED-MILK/SKIM-MILK-POWDERED/D-DALE-MILK-SKIM-INST-PDR-1KG/p/C1000003583"
CN,★★★★,GREATER_CHINA,SUCROSE,130,PI-ING-000514,YES,GENERIC-SUCROSE,Biały cukier krystaliczny — 100% cukier,GENERIC,dowolne opakowanie,,,,,,READY_PI,,NO_URL,PI-ING-000514
CN,★★★★,GREATER_CHINA,DEXTROSE,30,PI-ING-000494,YES,DEX-CN-PRODUCT,Dextrose monohydrate food grade,TNJ Chemical,25 kg papierowy worek,,,,,,WYMAGA_ETYKIETY,tnjchem.com,DIRECT_SITE_UNCLASSIFIED,https://www.tnjchem.com/dextrose-monohydrate-food-grade-at-factory-price_p2824.html
