iso2,priority,slot,stabilizer_type,candidate_pi_ing,product_name,brand,pack,ean,identifier_type,url,evidence_label,identifier_confirmed,exact_product_identity_confirmed,market_binding_confirmed,local_availability_confirmed,verification_class,page_market,market_by,source_type,evidence_method,ean_context,ingredients_as_printed,technical_doc_url,flags,relation_to_working_excel,selection_status,agent,checked_utc
US,★★★★★,SMP,,,Bob's Red Mill Nonfat Dry Milk Powder,Bob's Red Mill,22 oz (624 g),039978115201,GTIN-12 (UPC-A),https://www.vitacost.com/products/bob-s-red-mill-milk-powder-nonfat-dry-22-oz-624-g-97753,VERIFIED_PRODUCT_EVIDENCE,True,True,False,False,EAN_ON_GENERIC_TLD_PAGE,,GENERIC_TLD,DIRECT,RAW_HTML,"u003e\n\u003cdiv class=\""content-item\""\u003e \u003ch3\u003eUPC\u003c\/h3\u003e 039978115201 \u003c\/div\u003e \u003c",Nonfat dry milk. Contains: Milk.,,,SAME_AS_V7_LISTED_PRODUCT,NOT_SELECTED_AWAITING_OWNER_EXCEL,GAPS_US_ANZ_CA.json,2026-09-10T18:14:06Z
AE,★★★★,STABILIZER,GUAR,PI-ING-000472,Bob's Red Mill Premium Guar Gum,Bob's Red Mill,227 g,,NONE,https://organicfoodsandcafe.com/product/bobs-red-mill-guar-gum-226g/,RESEARCH_LEAD,False,False,False,False,SOURCE_NOT_READABLE,,GENERIC_TLD,DIRECT,RAW_HTML,,,,TYPE_NOT_ON_PAGE,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_MEA.json,2026-09-10T18:04:31Z
AR,★★★★,STABILIZER,LBG,PI-ING-000475|PI-ING-001384,Goma de Garrofín — Texturizante del algarrobo,Inpack Alimenticia S.A.,,,NONE,https://www.inpack.com.ar/productos/goma-de-garrofin-texturizante-del-algarrobo/?tax_marca_origen=ceamsa,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,AR,CCTLD,DIRECT,RAW_HTML,,,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_AM.json,2026-09-10T18:04:29Z
AR,★★★★,STABILIZER,GUAR,PI-ING-000472,Goma Guar x 250 g,New Garden,250 g,7791351147744,GTIN-13 (EAN-13),https://newgarden.com.ar/goma-guar-x-250-g.html,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,AR,CCTLD,DIRECT,RAW_HTML,"wgarden.com.ar/goma-guar-x-250-g.html"" /> <meta itemprop=""sku"" content=""7791351147744"" /> <div itemtyp",Goma Guar,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_AM.json,2026-09-10T18:04:26Z
AT,★★★★★,STABILIZER,TARA,PI-ING-000492,buXtrade Tarakernmehl 25 kg,buXtrade,25 kg (also sold smaller; this listing 25kg),4251510635824,GTIN-13 (EAN-13),https://www.shop-apotheke.at/ernaehrung/upmTFTP3Z/buxtrade-tarakernmehl.htm,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,AT,CCTLD,DIRECT,RAW_HTML,"e"":""Product"",""brand"":""buXtrade"",""description"":""buXtrade Tarakernmehl"",""gtin13"":""4251510635824"",""image"":""https://cdn.sh","Product = raw Tarakernmehl (buXtrade brand); JSON-LD Product schema gtin13=4251510635824, brand buXtrade; no separate multi-ingredient Zutaten line (raw single ingredient flour)",https://static.shop-apotheke.at/media/pdf/tuev_nord_cert.pdf,BULK_PACK,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T17:47:01Z
AT,★★★★★,STABILIZER,LBG,PI-ING-000475|PI-ING-001384,Bio Johannisbrotkernmehl,Kamelur,unspecified size (nutrition per 100g: 911kJ/218kcal),4251580707735,GTIN-13 (EAN-13),https://www.kamelur.at/johannisbrotkernmehl-kaufen,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,AT,CCTLD,DIRECT,RAW_HTML," <meta itemprop=""gtin13"" content=""4251580707735""> ",Zutaten: Johannisbrotkernmehl aus kontrolliert biologischem Anbau,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T17:47:01Z
AT,★★★★★,STABILIZER,GUAR,PI-ING-000472,Bio Guarkernmehl,Kamelur,unspecified size (nutrition per 100g: 805kJ/193kcal),4251580707766,GTIN-13 (EAN-13),https://www.kamelur.at/guarkernmehl-kaufen,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,AT,CCTLD,DIRECT,RAW_HTML," <meta itemprop=""gtin13"" content=""4251580707766""> ",Zutaten: Guarkernmehl aus kontrolliert biologischem Anbau,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T17:47:01Z
AU,★★★★★,STABILIZER,GUAR,PI-ING-000472,Organic Guar Gum Powder 250g,Honest to Goodness,250 g,9339944016848,GTIN-13 (EAN-13),https://goodness.com.au/organic-guar-gum-powder-250g/,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,AU,CCTLD,DIRECT,RAW_HTML,"xt/javascript""> var BCData = {""product_attributes"":{""sku"":""BIGUAPO2.250"",""upc"":""9339944016848"",""mpn"":null,""gtin"":null,",Organic Guar Gum (100%),,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_NX.json,2026-09-10T17:58:31Z
AU,★★★★★,STABILIZER,LBG,PI-ING-000475|PI-ING-001384,Locust Bean Gum Powder 180gm,The Red Spoon Company,180 g,9346701000118,GTIN-13 (EAN-13),https://www.redspooncompany.au/products/locust-bean-gum-powder,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,AU,CCTLD,DIRECT,RAW_HTML,"ocust-bean-gum-powder?variant=42165197996110#variant"",""@type"":""Product"",""gtin"":""9346701000118"",""image"":""https:\/\/www.","ingredients. Locust bean gum dissolves well in cold water and can thicken soups, creams, and sauces while improving their texture. From pastries to frozen desserts, locust bean gum is a reliable ingredient for creating smooth, consistent re",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_NX.json,2026-09-10T18:05:10Z
AU,★★★★★,STABILIZER,GUAR,PI-ING-000472,Guar Gum Powder 200gm,The Red Spoon Company,200 g,9346701000125,GTIN-13 (EAN-13),https://www.redspooncompany.au/products/guar-gum-powder,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,AU,CCTLD,DIRECT,RAW_HTML,"ucts\/guar-gum-powder?variant=42167695933518#variant"",""@type"":""Product"",""gtin"":""9346701000125"",""image"":""https:\/\/www.","ingredients together, in dairy to thicken yoghurt or improve ice cream texture and in dressings and sauces to hold emulsion. Usage: Depending on application and required result, starting from 2gm per Kg/L Share Facebook X (Twitter) Pinteres",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_NX.json,2026-09-10T18:05:10Z
BD,★★★★,STABILIZER,GUAR,PI-ING-000472,Xanthan Gum / Guar Gum 1kg,fbbazar,1 kg,,NONE,https://fbbazar.com/product/xanthan-gum-guar-gum-1kg-price-bangladesh/,RESEARCH_LEAD,False,False,False,False,PAGE_FACTS_ONLY,BD,CURRENCY,DIRECT,RAW_HTML,,,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_ASIA.json,2026-09-10T17:58:32Z
BD,★★★★,STABILIZER,OTHER_EXISTING_APPROVED_STABILIZER,,Xanthan Gum 30gm (bakery/pastry line),ChefCart BD,30 g,,NONE,https://chefcart.com.bd/xanthan-gum-30gm/,RESEARCH_LEAD,False,False,True,False,SOURCE_NOT_READABLE,BD,CCTLD,DIRECT,RAW_HTML,,,,NEEDS_BROWSER,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_ASIA.json,2026-09-10T17:58:32Z
BE,★★★★★,STABILIZER,GUAR,PI-ING-000472,Gomme de guar bio,"Au Bio Village (magasin de produits fermiers, locaux et bio)",60 g,,NONE,https://www.aubiovillage.be/shop-1-foSingle-2198,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,BE,CCTLD,DIRECT,RAW_HTML,,,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T18:04:25Z
BE,★★★★★,STABILIZER,LBG,PI-ING-000475|PI-ING-001384,Farine de caroube Bio 350 g (Naturitas Essentials); also CRETA Farine de Caroube 300 gr EL,Naturitas Essentials / CRETA,350 g / 300 g,,NONE,https://www.naturitas.be/p/alimentation/cereales-legumineuses-et-pates/farines/farine-de-caroube/farine-de-caroube-bio-350-g-naturitas-essentials,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,BE,CCTLD,DIRECT,RAW_HTML,,"Ingrédients: Poudre de caroube 100% biologique. Certificat ES-ECO-020-CV, Agriculture hors UE",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T18:04:27Z
BE,★★★★★,STABILIZER,STABILIZER_BLEND,REVIEW_REQUIRED (NEW PR/PI-ING INGESTION CONTRACT),Stabilisateur de crème glacée,Moulin de Moulbaix (own house brand),unspecified,,NONE,https://www.moulin-de-moulbaix.be/stabilisateurs/1767-stabilisateur-de-creme-glacee.html,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,BE,CCTLD,DIRECT,RAW_HTML,,,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T18:04:26Z
BG,★★★★,STABILIZER,GUAR,PI-ING-000472,ГУМА ГУАР 300 г / EAT HEALTHY GUAR GUM,Eat Healthy,300 g,,NONE,https://drugstore.bg/guma-guar-300-gr-31212,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,BG,CCTLD,DIRECT,RAW_HTML,,"Съставки: Нишесте от семена на азиатски боб (Cyamopsis tetragonoloba), получено при процес на обелване, смилане и пресяване.",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_EU.json,2026-09-10T18:04:28Z
BG,★★★★,STABILIZER,LBG,PI-ING-000475|PI-ING-001384,"Гума от Рожков, 100 g прах",Gall Pharma (Austria),100 g,9008124059592,GTIN-13 (EAN-13),https://revita.bg/shop/guma-ot-rozhkov-100-g-prakh,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,BG,CCTLD,DIRECT,RAW_HTML,"bg/shop/guma-ot-rozhkov-100-g-prakh""> <meta content=""9008124059592""> ",стрити на прах семена на храста рожков (ground carob/locust-bean-tree seed powder); no formal 'Съставки' declaration block on page beyond the product description,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_EU.json,2026-09-10T18:04:29Z
BG,★★★★,STABILIZER,GUAR,PI-ING-000472,"Веган фибри от гума гуар (Vegan fiber from hydrolyzed guar gum), 125 g прах","unspecified (revita.bg, code MT4152)",125 g,8720959400912,GTIN-13 (EAN-13),https://revita.bg/shop/vegan-fibri-ot-guma-guar-125-g-prakh,VERIFIED_PRODUCT_EVIDENCE,True,True,True,False,EAN_ON_MARKET_PAGE,BG,CCTLD,DIRECT,RAW_HTML,"egan-fibri-ot-guma-guar-125-g-prakh""> <meta content=""8720959400912""> ",Съставки В 5 g/ 1 ч.л./ дн.доза: Фибри От хидролизирана гума гуар 5 g,,TYPE_NOT_ON_PAGE,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_EU.json,2026-09-10T18:04:29Z
BR,★★★★,STABILIZER,LBG,PI-ING-000475|PI-ING-001384,Goma Alfarroba LBG,,,,NONE,https://www.guialat.com.br/produto/goma-alfarroba-lbg-27614,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,BR,CCTLD,DIRECT,RAW_HTML,,Ingredientes Agropecuária Embalagem Higienização e Segurança Laboratório Máquinas e Equipamentos Peças e Acessórios Refrigeração e Transporte Serviços Fornecedores Notícias Contato 0 A GuiaLat Anuncie Cotação --> Produtos Aditivos e Ingredi,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_AM.json,2026-09-10T18:04:28Z
BR,★★★★,STABILIZER,GUAR,PI-ING-000472,Goma Guar 100g,Empório Quatro Estrelas,100 g,7896730805830,GTIN-13 (EAN-13),https://www.emporioquatroestrelas.com.br/goma-guar-100g10735-8/p,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,BR,CCTLD,DIRECT,RAW_HTML,"weight"":100,""compare_at_price"":null,""inventory_management"":""shopify"",""barcode"":""7896730805830"",""requires_selling_plan""","Ingredientes e Alergênicos Laudo Técnico Descrição do Produto A Goma Guar é um espessante natural extraído do feijão-guar, utilizado para melhorar a textura e consistência de uma ampla gama de produtos alimentícios, como sorvetes, molhos e ",https://www.emporioquatroestrelas.com.br/cdn/shop/files/laudo-872-LAUDO-GOMA-GUAR.pdf?v=2757314865117332968,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_AM.json,2026-09-10T18:04:27Z
BR,★★★★,STABILIZER,STABILIZER_BLEND,REVIEW_REQUIRED (NEW PR/PI-ING INGESTION CONTRACT),Estabilizante Liga Neutra para Sorvete 100g,Iceberg,100 g,7898329014456,GTIN-13 (EAN-13),https://www.lojasantoantonio.com.br/estabilizante-liga-neutra-para-sorvete-100g-iceberg--95204/p,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,BR,CCTLD,DIRECT,RAW_HTML,"tion"":""Estabilizante Liga Neutra p/ Sorvete 100g ICEBERG"",""sku"":""23943"",""gtin"":""7898329014456"",""mpn"":"""",""releaseDate"":",,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_AM.json,2026-09-10T18:04:27Z
CA,★★★★★,STABILIZER,STABILIZER_BLEND,REVIEW_REQUIRED (NEW PR/PI-ING INGESTION CONTRACT),Stab 2000 - Ice Cream & Gelato Stabilizer & Emulsifier,Louis Francois,1 kg,3700434800104,GTIN-13 (EAN-13),https://supplies.gusta.ca/products/louis-francois-stab-2000-ice-cream-gelato-stabilizer,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,CA,CCTLD,DIRECT,RAW_HTML," Stabilizer &amp; Emulsifier for Smooth Ice Cream &amp; Gelato - 1kg"",""gtin13"": 3700434800104,""sku"": ""1971A"",""descript","(descriptive, not a formal ingredient-panel line) 'Stab 2000 combines clean-label hydrocolloids with an emulsifier to improve both texture and stability... especially well suited to high-fat, dairy, and custard-style ice creams' - includes ",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_NX.json,2026-09-10T18:14:09Z
CA,★★★★★,STABILIZER,STABILIZER_BLEND,REVIEW_REQUIRED (NEW PR/PI-ING INGESTION CONTRACT),Super Neutrose - Sorbet & Frozen Dessert Stabilizer,Louis Francois,1 kg,3700434800272,GTIN-13 (EAN-13),https://supplies.gusta.ca/products/louis-francois-super-neutrose-sorbet-frozen-dessert-stabilizer,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,CA,CCTLD,DIRECT,RAW_HTML,"mp; Frozen Dessert Stabilizer for Smooth, Crystal-Free Texture - 1kg"",""gtin13"": 3700434800272,""sku"": ""1990B"",""descript","Per page body copy: 'Made from a blend of dried glucose syrup, locust bean gum, sodium alginate, and carrageenan' (descriptive text, not an isolated formal ingredient-panel line)",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_NX.json,2026-09-10T18:14:09Z
CH,★★★★★,STABILIZER,LBG,PI-ING-000475|PI-ING-001384,Rapunzel Johannisbrotkernmehl,Rapunzel,65 g,,NONE,https://www.galaxus.ch/de/s7/product/rapunzel-johannisbrotkernmehl-65-g-mehl-14760837,RESEARCH_LEAD,False,False,True,False,SOURCE_NOT_READABLE,CH,CCTLD,DIRECT,BROWSER_DOM,,,,TYPE_NOT_ON_PAGE;NEEDS_BROWSER,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T17:58Z
CH,★★★★★,STABILIZER,GUAR,PI-ING-000472,Biovegan Guarkernmehl,Biovegan,unspecified,,NONE,https://www.galaxus.ch/de/s7/product/biovegan-guarkernmehl-mehl-20929668,RESEARCH_LEAD,False,False,True,False,SOURCE_NOT_READABLE,CH,CCTLD,DIRECT,BROWSER_DOM,,,,TYPE_NOT_ON_PAGE;NEEDS_BROWSER,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T17:58Z
CH,★★★★★,STABILIZER,STABILIZER_BLEND,REVIEW_REQUIRED (NEW PR/PI-ING INGESTION CONTRACT),Eiscreme Stabilisator,Patisdecor,125 g,3700105234436,GTIN-13 (EAN-13),https://cakelicious.ch/de/zutaten/7800-eiscreme-stabilisator-3700105234436.html,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,CH,CCTLD,DIRECT,RAW_HTML,"tabilisator.jpg"", ""sku"": ""0003-0078"", ""mpn"": ""0003-0078"" ,""gtin13"": ""3700105234436"" , ""brand"": {","No explicit 'Zutaten:'/composition ingredient line found in crawled HTML; page signals show GUAR, LBG (carob/locust bean), and CARRAGEENAN terms present (baking-supply product description), price in CHF, product titled 'Eiscreme Stabilisato",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T17:52:55Z
CL,★★★★,STABILIZER,LBG,PI-ING-000475|PI-ING-001384,Goma de Algarrobo,Casado Asia Pacific,,,NONE,http://casado.cl/goma-de-algarrobo/,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,CL,CCTLD,DIRECT,RAW_HTML,,"ingrediente favorece al incremento significativo del volumen en un producto sin que su adición repercuta en gran medida en el valor calórico del alimento. En cuanto a sus características como emulsificante, este ingrediente ayuda a mantener",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_AM.json,2026-09-10T18:04:34Z
CL,★★★★,STABILIZER,GUAR,PI-ING-000472,Goma Guar 1 Kg En Polvo Grado Alimenticio,Organización / Lider,1 kg,00799986104581,CHECKSUM_FAIL,https://www.lider.cl/ip/organizacion/goma-guar-1-kg-en-polvo-grado-alimenticio/00799986104581,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,CL,CCTLD,DIRECT,RAW_HTML,"th=2000&odnBg=ffffff"",""name"":""Goma Guar 1 Kg En Polvo Grado Alimenticio"",""sku"":""00799986104581"",""gtin13"":""0079998610458",,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_AM.json,2026-09-10T18:04:29Z
CZ,★★★★,STABILIZER,TARA,PI-ING-000492,Guma Tara Valknut,Valknut,"unspecified (product page, no gram size parsed)",,NONE,https://www.valknut.cz/guma-tara-valknut/,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,CZ,CCTLD,DIRECT,RAW_HTML,,Složení: 100% guma Tara (E417),,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_EU.json,2026-09-10T17:20:44Z
CZ,★★★★,STABILIZER,LBG,PI-ING-000475|PI-ING-001384,Karubin - karobová guma E410 150 g,Louis François,150 g,2700001319122,RCN_STORE_INTERNAL (not globally unique),https://www.ozdobdort.cz/karubin-karobova-guma-e410-150-g-louis-francois,RESEARCH_LEAD,False,False,True,False,EAN_ON_MARKET_PAGE,CZ,CCTLD,DIRECT,RAW_HTML,"68"", ""sku"": ""10130"", ""gtin13"": ""2700001319122"", ""name""","Složení produktu: Karubinová guma (svatojánská guma, E410).",,RCN,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_EU.json,2026-09-10T17:20:44Z
CZ,★★★★,STABILIZER,GUAR,PI-ING-000472,Guarová guma – Natural 100g,Natural (sold via Biodomov.cz),100 g,8594010317804,GTIN-13 (EAN-13),https://www.biodomov.cz/produkt/guarova-guma-natural-100g/,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,CZ,CCTLD,DIRECT,RAW_HTML,"_code_wrapper"">EAN: <span class=""wpm_gtin wpm_pgw_code"" data-product-id=""24164"">8594010317804</span></span> <span ",Složení: Guarová guma.,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_SUP_EU.json,2026-09-10T17:20:44Z
DE,★★★★★,STABILIZER,TARA,PI-ING-000492,Tarakernmehl NV,Würzteufel,100 g Beutel,4251791522288,GTIN-13 (EAN-13),https://www.wuerzteufel.de/Tarakernmehl-NV-GewichtVerpackung-100gBeutel-5950,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,DE,CCTLD,DIRECT,RAW_HTML," <meta itemprop=""sku"" content=""B09NF1KZ64"" /> <meta itemprop=""gtin"" content=""4251791522288"" /> <div itemprop=""re","Product = raw Tarakernmehl (Tara Gum), sourced Peru from Tara-Strauch (Caesalpinia spinosa); no separate 'Zutaten:' declaration line found in crawled HTML (page sells the raw ingredient itself)",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T17:20:42Z
DE,★★★★★,STABILIZER,LBG,PI-ING-000475|PI-ING-001384,"Natura Johannisbrotkernmehl, bio glutenfrei 100g",Natura (Reformhaus/neuform),100 g,4009890112547,GTIN-13 (EAN-13),https://reformhaus.de/products/natura-johannisbrotkernmehl-bio-glutenfrei-100g,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,DE,CCTLD,DIRECT,RAW_HTML,"weight"":150,""compare_at_price"":1499,""inventory_management"":""shopify"",""barcode"":""4009890112547"",""requires_selling_plan""","Johannisbrotkernmehl (Locust Bean/Carob Gum), Bio, glutenfrei; Bio-Kontrollstelle DE-ÖKO-001; no explicit single-line 'Zutaten:' table crawled but product title/category confirm single raw flour, organic",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T17:20:42Z
DE,★★★★★,STABILIZER,GUAR,PI-ING-000472,Bio Guakernmehl 100g Packung,Bode Naturkost (gewuerze-wurstbedarf.de),100 g,4260654782295,GTIN-13 (EAN-13),https://www.gewuerze-wurstbedarf.de/produkt/bio-guakernmehl-100g-packung/,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,DE,CCTLD,DIRECT,RAW_HTML,"s://www.gewuerze-wurstbedarf.de""},""price"":""4.30"",""priceCurrency"":""EUR""}],""mpn"":""4260654782295""}</script><div data-nosn","Zutaten: 100% Guarkernmehl. Kann Spuren von Gluten, Schalenfrüchten und Sesam enthalten.",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T17:20:43Z
DK,★★★★★,STABILIZER,LBG,PI-ING-000475|PI-ING-001384,Johannesbrød kernemel 100 g,Natur Drogeriet,100 g,5703137936819,GTIN-13 (EAN-13),https://www.matas.dk/johannesbroed-kernemel-100-g,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,DK,CCTLD,DIRECT,RAW_HTML,"ncode/5703137936819_20260629141700.jpg"",""mpn"":""998634"",""sku"":""998634"",""gtin13"":""5703137936819"",""url"":""https://www.mata",Ingredienser Specifikationer Betaling Levering &amp; returnering Inspiration Stories artikel Alt om chiafrø og opskrift på chiaboller Stories artikel Nem og lækker opskrift på bananpandekager Stories artikel Osteopaten guider: 5 gode råd ti,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_NX.json,2026-09-10T17:20:42Z
FI,★★★★★,STABILIZER,GUAR,PI-ING-000472,"Guarkumi, 100% puhdas jauhe 227 g",NOW Foods,227 g,733739050403,GTIN-12 (UPC-A),https://ecosupplements.fi/product/guarkumi-100-puhdas-jauhe-227-g/,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,FI,CCTLD,DIRECT,BROWSER_DOM,"<meta property=""product:retailer_item_id"" content=""733739050403"">",,,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_NX.json,2026-09-10T17:58Z
FI,★★★★★,STABILIZER,STABILIZER_BLEND,REVIEW_REQUIRED (NEW PR/PI-ING INGESTION CONTRACT),Sosa Prosorbet 100 Natural kylmä stabilointiaine,Sosa Ingredients,2 x 3 kg,8414933006237,GTIN-13 (EAN-13),https://www.pnmchipsters.fi/foodservice/tuotteet/erikoistuotteet/sosa-prosorbet-100-natural-kylma-stabilointiaine-3-kg,VERIFIED_MARKET_EVIDENCE,True,True,True,True,EAN_ON_MARKET_PAGE,FI,CCTLD,DIRECT,RAW_HTML,"0,5 g Suola 0,1 g Tuotekoodit : PNM-Chipsters -tuotenumero: 48665 EAN: 8414933006237 Kespro: 22018247 "" /> ","Ainesosat: Dekstroosi, glukoosi, maltodekstriini, sakeuttamisaineet (E412, E407, inuliini, E401), sakkaroosi, sitruunakuitu. Saattaa sisältää pieniä määriä kananmunaa, maapähkinää, soijaa, maitoa, pähkinöitä, selleriä, sinappia, seesaminsie",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_NX.json,2026-09-10T17:55:52Z
FI,★★★★★,STABILIZER,GUAR,PI-ING-000472,"Ellin 100 % guarkumi, 50 g",Ellin Keittiö,50 g,6429811287341,GTIN-13 (EAN-13),https://www.vitaravinne.fi/products/ellin-100-guarkumi-50-g-ellin-keittio,VERIFIED_PRODUCT_EVIDENCE,True,True,True,False,EAN_ON_MARKET_PAGE,FI,CCTLD,DIRECT,RAW_HTML,",""weight"":50,""compare_at_price"":399,""inventory_management"":""shopify"",""barcode"":""6429811287341"",""requires_selling_plan""",Ainesosat: guarkumi,,TYPE_NOT_ON_PAGE,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_NX.json,2026-09-10T18:05:10Z
FR,★★★★★,STABILIZER,STABILIZER_BLEND,REVIEW_REQUIRED (NEW PR/PI-ING INGESTION CONTRACT),Stabilisateur de glace,Patisdecor,125 g,,NONE,https://www.toc.fr/p/16902,RESEARCH_LEAD,False,False,True,False,PAGE_FACTS_ONLY,FR,CCTLD,DIRECT,RAW_HTML,,"INGRÉDIENTS : Émulsifiant E471, épaississants E410-E412, gélifiants E401-E407. Allergènes : peut contenir des traces de SOJA, LAIT, ŒUF, GLUTEN, FRUITS À COQUE, SULFITES et LUPIN. CONSERVATION : Avant ouverture : À conserver à l'abri de la ",,,NOT_IN_V7,NOT_SELECTED_AWAITING_OWNER_EXCEL,STAB_CORE_W.json,2026-09-10T18:14:11Z
