iso2,priority,functional_slot,search_step,stabilizer_type,selected_pi_ing,selected_pr_ing,selected_product_name,ean_gtin,source_url,availability_evidence,technical_doc_url,evidence_class_slot,engine_readiness,processing_readiness,final_use_status,next_step,v7_status
NG,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Cape Crystal Brands Tara Gum Powder,711221973058,https://www.capecrystalbrands.com/products/tara-gum,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
NL,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
NO,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tarakernmehl / Tara gum 100 g,4251510635756,https://buxtrade.de/products/tarakernmehl,EAN_ON_FOREIGN_MARKET_PAGE; page_market=DE; by=CCTLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
NZ,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum 50gr. / Gomma di Tara E417,8055728540170,https://saporepuro.myshopify.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
OM,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Modernist Pantry Pure Tara Gum Powder,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
PA,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum — Home 50g,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
PH,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum — Home 50g,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
PK,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Tara Gum [E417] 100% USP Food Grade Powder,,https://www.ubuy.com.pk/en/product/5BVJX2NL2-tara-gum-e417-100-usp-food-grade-powder-1-lb-in-two-bottles-usa,NO_EAN_IN_V7; page_market=PK; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
PL,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Guma Tara (E417) 130002 SEMPRE,,https://www.cukieteria.pl/dodatki-funkcjonalne-do-lodow/13953-op-500-g-guma-tara-e417-130002-sempre-dodatek-do-zywnosci-o-wlasciwosciach-zageszczajacych-i-stabilizujacych.html,NO_EAN_IN_V7; page_market=PL; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_GTIN
PT,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
QA,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Modernist Pantry Pure Tara Gum Powder,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
RO,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
SA,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Cape Crystal Brands Tara Gum Powder,711221973058,https://www.capecrystalbrands.com/products/tara-gum,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
SE,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
SG,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Tara Gum (塔拉胶) - 50g,,https://better4u.sg/edible-food-tech/244-tara-gum-50g.html,NO_EAN_IN_V7; page_market=SG; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
SI,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,SaporePuro Farina di Semi di Tara / Gomma di Tara E417,8055728540170,https://saporepuro.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
SK,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Guma Tara Valknut / Tara guma Valknut,,https://www.valknut.sk/tara-guma-valknut/,NO_EAN_IN_V7; page_market=SK; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
TH,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum (China) 25g. A M,2033200071103,https://www.chemipan.com/a/index.php?lang=en-gb&option=com_virtuemart&view=productdetails&virtuemart_category_id=126&virtuemart_product_id=17389,SOURCE_NOT_READABLE; page_market=-; by=GENERIC_TLD; BROWSER_DOM,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
TN,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Cape Crystal Brands Tara Gum Powder,711221973058,https://www.capecrystalbrands.com/products/tara-gum,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_DOSTAWY
TR,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Benosen Tara Gum (E417) 200 g,0795258101998,https://www.trendyol.com/benosen/tara-gum-e417-dondurma-stabilizeri-kivam-verici-net-200-g-p-81504382,SOURCE_NOT_READABLE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
TW,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum 50gr. / Gomma di Tara E417,8055728540170,https://saporepuro.myshopify.com/products/farina-di-semi-di-tara-gomma-di-tara-origine-peru-e417-confezionato-in-italia-1,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),KANDYDAT_PR
US,★★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,AUTO PO AKCEPTACJI,Tara Gum — Home 50g,819543011967,https://modernistpantry.com/products/tara-gum.html,EAN_ON_GENERIC_TLD_PAGE; page_market=-; by=GENERIC_TLD; RAW_HTML,,LEAD,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),HOLD_US
UY,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Goma de Tara — oferta spożywcza B2B,,https://www.kilmecor.com.uy/productos/,NO_EAN_IN_V7; page_market=UY; by=CCTLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
VN,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,Tara Gum — food-use bulk raw material,,https://camachem.com/vn/tara-gum.html,NO_EAN_IN_V7; page_market=-; by=GENERIC_TLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
ZA,★★★★,STABILIZER,"1_LOCAL_TARA (v7 evidence, preserved)",TARA,PI-ING-000492,,UNIPEKTIN VIDOGUM SP native tara gum E417,,https://danlink.com/product/gums-stabilizers/,NO_EAN_IN_V7; page_market=-; by=GENERIC_TLD; RAW_HTML,,BRAK,NOT_ASSESSED,NOT_ASSESSED (PF_TARA_NATIVE: CONDITIONAL),NOT_READY,SEARCH_LOCAL_ALTERNATIVE (D-14 step 2),WYMAGA_ETYKIETY
